Step Time(ns) rpsystem.singlet rpsystem.t0 rpsystem.tp rpsystem.tm rpsystem.identity 
1 0 1 2.84603e-19 1.9082e-17 1.24904e-21 1 
1 0.2 0.996357 0.00170694 0.00104746 0.000888992 1 
1 0.4 0.991487 0.00453481 0.00218385 0.00179421 1 
1 0.6 0.986377 0.00757153 0.00341194 0.00263986 1 
1 0.8 0.982003 0.00981006 0.00472635 0.00346034 1 
1 1 0.978909 0.0106343 0.00611691 0.0043399 1 
1 1.2 0.977059 0.0101064 0.00757365 0.00526146 1 
1 1.4 0.975854 0.00892856 0.00909095 0.00612654 1 
1 1.6 0.974309 0.00810691 0.0106689 0.00691554 1 
1 1.8 0.971496 0.0084744 0.0123117 0.00771774 1 
1 2 0.967102 0.0102913 0.0140243 0.00858262 1 
1 2.2 0.961628 0.0131174 0.0158089 0.00944518 1 
1 2.4 0.956061 0.0160271 0.0176643 0.0102472 1 
1 2.6 0.95131 0.018062 0.0195864 0.0110412 1 
1 2.8 0.94784 0.0186913 0.0215708 0.011898 1 
1 3 0.94555 0.0180571 0.0236147 0.0127787 1 
1 3.2 0.943792 0.0168984 0.0257173 0.0135927 1 
1 3.4 0.941577 0.016199 0.0278788 0.0143448 1 
1 3.6 0.938058 0.0167202 0.0300984 0.0151235 1 
1 3.8 0.933037 0.0186351 0.032373 0.0159544 1 
1 4 0.927092 0.021443 0.034698 0.016767 1 
1 4.2 0.921191 0.0242156 0.0370689 0.0175248 1 
1 4.4 0.916175 0.0260503 0.0394838 0.0182909 1 
1 4.6 0.912437 0.0265021 0.0419443 0.0191169 1 
1 4.8 0.909811 0.0257865 0.0444544 0.019948 1 
1 5 0.907604 0.0246696 0.0470176 0.020709 1 
1 5.2 0.904837 0.0241041 0.0496335 0.021425 1 
1 5.4 0.900752 0.0247764 0.052296 0.0221754 1 
1 5.6 0.895266 0.0267752 0.0549947 0.0229636 1 
1 5.8 0.889011 0.0295484 0.0577187 0.0237222 1 
1 6 0.882927 0.032175 0.0604615 0.0244369 1 
1 6.2 0.877788 0.0338146 0.063224 0.0251731 1 
1 6.4 0.873919 0.0341065 0.0660141 0.0259603 1 
1 6.6 0.871089 0.0333326 0.0688424 0.0267361 1 
1 6.8 0.868563 0.0322768 0.0717157 0.027445 1 
1 7 0.865389 0.0318531 0.0746324 0.0281259 1 
1 7.2 0.860906 0.0326702 0.0775812 0.0288427 1 
1 7.4 0.855137 0.034737 0.0805449 0.0295815 1 
1 7.6 0.848748 0.037459 0.0835073 0.0302853 1 
1 7.8 0.842647 0.0399322 0.0864611 0.0309592 1 
1 8 0.837544 0.0413826 0.0894106 0.0316628 1 
1 8.2 0.833693 0.0415318 0.0923701 0.0324049 1 
1 8.4 0.8308 0.0407205 0.0953562 0.0331231 1 
1 8.6 0.828097 0.0397414 0.0983784 0.0337831 1 
1 8.8 0.824674 0.0394631 0.101433 0.0344294 1 
1 9 0.819972 0.0404154 0.104505 0.0351077 1 
1 9.2 0.814105 0.0425326 0.107569 0.0357934 1 
1 9.4 0.807762 0.0451874 0.110606 0.0364446 1 
1 9.6 0.801811 0.047501 0.113608 0.0370804 1 
1 9.8 0.796899 0.0487689 0.116584 0.0377486 1 
1 10 0.793213 0.0487917 0.119555 0.038441 1 
1 10.2 0.790394 0.0479612 0.122542 0.0391028 1 
1 10.4 0.787654 0.0470704 0.125557 0.0397183 1 
1 10.6 0.784138 0.0469372 0.128595 0.0403303 1 
1 10.8 0.779389 0.0480123 0.131633 0.040966 1 
1 11 0.773598 0.0501614 0.134643 0.0415981 1 
1 11.2 0.767464 0.0527336 0.137601 0.0422013 1 
1 11.4 0.761813 0.0548826 0.140503 0.0428015 1 
1 11.6 0.757233 0.0559751 0.14336 0.0434314 1 
1 11.8 0.75384 0.0558867 0.1462 0.0440726 1 
1 12 0.751216 0.0550526 0.14905 0.0446821 1 
1 12.2 0.748563 0.0542582 0.151921 0.045258 1 
1 12.4 0.745093 0.054266 0.154806 0.0458353 1 
1 12.6 0.740448 0.0554489 0.157677 0.0464264 1 
1 12.8 0.73488 0.0576109 0.160501 0.0470073 1 
1 13 0.729091 0.0600862 0.163254 0.0475682 1 
1 13.2 0.723867 0.062067 0.165932 0.0481346 1 
1 13.4 0.719731 0.0629919 0.168553 0.0487245 1 
1 13.6 0.716729 0.0628063 0.171149 0.0493158 1 
1 13.8 0.714388 0.0619814 0.173752 0.049879 1 
1 14 0.711919 0.0612881 0.176373 0.0504198 1 
1 14.2 0.708608 0.0614299 0.179 0.050962 1 
1 14.4 0.704184 0.0627043 0.181603 0.0515083 1 
1 14.6 0.698952 0.0648605 0.184144 0.0520431 1 
1 14.8 0.693609 0.0672259 0.186598 0.0525675 1 
1 15 0.688898 0.0690363 0.188964 0.0531015 1 
1 15.2 0.685282 0.0698015 0.191266 0.0536509 1 
1 15.4 0.68273 0.0695318 0.193543 0.054196 1 
1 15.6 0.680727 0.0687268 0.195826 0.05472 1 
1 15.8 0.678506 0.0681366 0.198128 0.0552292 1 
1 16 0.675428 0.0684031 0.200433 0.0557361 1 
1 16.2 0.671305 0.0697516 0.202704 0.0562398 1 
1 16.4 0.666479 0.071884 0.204902 0.0567351 1 
1 16.6 0.66164 0.0741284 0.207003 0.0572283 1 
1 16.8 0.657492 0.0757679 0.209009 0.0577306 1 
1 17 0.654426 0.076382 0.210951 0.0582406 1 
1 17.2 0.652343 0.0760405 0.212872 0.0587454 1 
1 17.4 0.650695 0.0752644 0.214804 0.0592369 1 
1 17.6 0.648748 0.0747769 0.216758 0.0597169 1 
1 17.8 0.64594 0.0751573 0.218713 0.0601889 1 
1 18 0.642153 0.0765626 0.22063 0.0606543 1 
1 18.2 0.637762 0.0786546 0.222467 0.061117 1 
1 18.4 0.633447 0.0807689 0.224201 0.061583 1 
